"Population","evolline","Environment","treat_num","mean_growth","se_growth","Na","Cu","Temp"
1,1,1,1,0.215512254409091,0.0387339301467226,"0","0","0"
1,1,2,2,0.0494616833333333,0.048891055976013,"1","0","0"
1,1,3,3,0.141704008375,0.0477460531296492,"0","1","0"
1,1,4,4,0.120893223416667,0.0283291721926147,"0","0","1"
1,1,5,5,0.150530011227273,0.0462536524714157,"1","1","0"
1,1,6,6,0.063329325375,0.0288843698506111,"1","0","1"
1,1,7,7,0.0736580872083333,0.0227639468006971,"0","1","1"
1,1,8,8,-0.08864375725,0.0291235666988282,"1","1","1"
2,1,1,1,0.238597115052632,0.0304384583949532,"0","0","0"
2,1,2,2,0.133024482,0.0395739642631017,"1","0","0"
2,1,3,3,0.0115718064583333,0.0438904336594358,"0","1","0"
2,1,4,4,0.0545282503043478,0.0251151965542973,"0","0","1"
2,1,5,5,0.113087444130435,0.0498010661427472,"1","1","0"
2,1,6,6,-0.0182105413809524,0.0301306720695505,"1","0","1"
2,1,7,7,0.0133726660416667,0.0312661449653224,"0","1","1"
2,1,8,8,-0.09045137225,0.0251088675186299,"1","1","1"
3,1,1,1,0.1996056812,0.0499376645987891,"0","0","0"
3,1,2,2,0.148733568181818,0.0367853834007302,"1","0","0"
3,1,3,3,0.115106981,0.0426390519936606,"0","1","0"
3,1,4,4,0.106315426666667,0.0239180570955522,"0","0","1"
3,1,5,5,0.084801536375,0.039772859664674,"1","1","0"
3,1,6,6,0.0165597710454545,0.0234720704752515,"1","0","1"
3,1,7,7,0.00143217622727273,0.0327242736091856,"0","1","1"
3,1,8,8,-0.0717010265833333,0.0259009685647275,"1","1","1"
4,1,1,1,0.225020439318182,0.043354339617672,"0","0","0"
4,1,2,2,0.0720540876086957,0.0500853042742397,"1","0","0"
4,1,3,3,0.194571029625,0.0464495653711731,"0","1","0"
4,1,4,4,0.0713473355833333,0.0267809509944331,"0","0","1"
4,1,5,5,0.0983651829166667,0.0552846678996072,"1","1","0"
4,1,6,6,-0.02140896305,0.035697736273014,"1","0","1"
4,1,7,7,0.115432836086957,0.0220907458643371,"0","1","1"
4,1,8,8,-0.0433475795714286,0.0356452478891825,"1","1","1"
5,2,1,9,0.161941506708333,0.0433193332859079,"0","0","0"
5,2,2,10,0.217230029458333,0.0344992890776794,"1","0","0"
5,2,3,11,0.208692689434783,0.0384809081498611,"0","1","0"
5,2,4,12,0.133315439708333,0.0168329271851484,"0","0","1"
5,2,5,13,0.0903404084166667,0.0603741606910611,"1","1","0"
5,2,6,14,0.050046459125,0.0203885684146674,"1","0","1"
5,2,7,15,0.0930212380416667,0.0185796466817971,"0","1","1"
5,2,8,16,-0.00135905518181818,0.0315500857355635,"1","1","1"
6,2,1,9,0.157021637791667,0.0393992670731434,"0","0","0"
6,2,2,10,0.168899044434783,0.0316319935580203,"1","0","0"
6,2,3,11,0.0237408895833333,0.0532569823453038,"0","1","0"
6,2,4,12,0.0568849235,0.0176052724316756,"0","0","1"
6,2,5,13,0.0697136397083333,0.0440535039683789,"1","1","0"
6,2,6,14,0.0283637747391304,0.0242925065230118,"1","0","1"
6,2,7,15,0.0148845572173913,0.0297208695144326,"0","1","1"
6,2,8,16,-0.0476527111666667,0.0271587610737779,"1","1","1"
7,2,1,9,0.213775088,0.0276893121622804,"0","0","0"
7,2,2,10,0.14520224305,0.0389638651575616,"1","0","0"
7,2,3,11,0.00277556258333334,0.046062486698358,"0","1","0"
7,2,4,12,0.088569909875,0.0136792429822024,"0","0","1"
7,2,5,13,0.0626845457083333,0.0534068354031895,"1","1","0"
7,2,6,14,0.00508791458333333,0.0263309708482505,"1","0","1"
7,2,7,15,0.0681719700833333,0.0267747454640063,"0","1","1"
7,2,8,16,-0.0427806285,0.0262300590763769,"1","1","1"
8,2,1,9,0.145533452625,0.0454159791134185,"0","0","0"
8,2,2,10,0.191520360208333,0.0326337711559792,"1","0","0"
8,2,3,11,0.18857082,0.0371180369448338,"0","1","0"
8,2,4,12,0.100085795318182,0.0191647770458115,"0","0","1"
8,2,5,13,0.165044832333333,0.0493691424147463,"1","1","0"
8,2,6,14,0.05912122725,0.0262447755576294,"1","0","1"
8,2,7,15,0.0861831243333333,0.025590755521666,"0","1","1"
8,2,8,16,-0.039580104625,0.0296020278124011,"1","1","1"
9,3,1,17,0.224726595666667,0.0432387670372465,"0","0","0"
9,3,2,18,0.0576975579166667,0.0468449674943135,"1","0","0"
9,3,3,19,0.227962610416667,0.0317905748479044,"0","1","0"
9,3,4,20,0.0880890919583333,0.0273519882810053,"0","0","1"
9,3,5,21,0.0822553245416667,0.0414832259183422,"1","1","0"
9,3,6,22,0.0982074446086957,0.023530301397972,"1","0","1"
9,3,7,23,0.0931986003333333,0.0269208067476637,"0","1","1"
9,3,8,24,-0.0649590351304348,0.0261512335540945,"1","1","1"
10,3,1,17,0.175741194041667,0.0410449350127521,"0","0","0"
10,3,2,18,0.22675540926087,0.0341897876070612,"1","0","0"
10,3,3,19,0.226762042636364,0.0445835634168649,"0","1","0"
10,3,4,20,0.0617871018333333,0.0249737957343078,"0","0","1"
10,3,5,21,0.0449823779166667,0.0499058735230498,"1","1","0"
10,3,6,22,0.0694728671666667,0.0193545438874227,"1","0","1"
10,3,7,23,0.0411456907083333,0.0342889053185981,"0","1","1"
10,3,8,24,-0.062391791375,0.0257397737677658,"1","1","1"
12,3,1,17,0.206134326041667,0.0400989149516191,"0","0","0"
12,3,2,18,0.0365611915416667,0.0448486811534051,"1","0","0"
12,3,3,19,0.257944483916667,0.0383878266966151,"0","1","0"
12,3,4,20,0.0973920350434783,0.0219834535677247,"0","0","1"
12,3,5,21,0.04107004175,0.0478058349630675,"1","1","0"
12,3,6,22,0.0403059952083333,0.0194086506926022,"1","0","1"
12,3,7,23,0.134497051652174,0.0227526869795629,"0","1","1"
12,3,8,24,0.0863267306521739,0.0302989383325902,"1","1","1"
13,4,1,25,0.223346410041667,0.0351645271592182,"0","0","0"
13,4,2,26,0.153393943958333,0.0447437674807057,"1","0","0"
13,4,3,27,0.143968818,0.0481163866920132,"0","1","0"
13,4,4,28,0.205577523217391,0.0163269867437946,"0","0","1"
13,4,5,29,0.14040233775,0.0456460642611822,"1","1","0"
13,4,6,30,0.0711438092727273,0.0259039480896874,"1","0","1"
13,4,7,31,0.130410868869565,0.0192875035762316,"0","1","1"
13,4,8,32,0.00317385734782609,0.0336577307444315,"1","1","1"
14,4,1,25,0.110695605916667,0.0402934915929531,"0","0","0"
14,4,2,26,0.114844073833333,0.0392117748809554,"1","0","0"
14,4,3,27,0.01758728875,0.0424361519276084,"0","1","0"
14,4,4,28,0.173014360541667,0.00845861390041431,"0","0","1"
14,4,5,29,-0.00688833529166666,0.0405927318599847,"1","1","0"
14,4,6,30,0.0294526487142857,0.0291898772686485,"1","0","1"
14,4,7,31,0.07754743625,0.0247555333074739,"0","1","1"
14,4,8,32,-0.0950063835652174,0.0225649727001361,"1","1","1"
15,4,1,25,0.160353410666667,0.0307905098652155,"0","0","0"
15,4,2,26,0.0776166710833333,0.0408787689805466,"1","0","0"
15,4,3,27,0.111479155166667,0.0463176847980547,"0","1","0"
15,4,4,28,0.141394722772727,0.0286167267449743,"0","0","1"
15,4,5,29,0.070979313625,0.0427048501452552,"1","1","0"
15,4,6,30,0.0363212849130435,0.0233859804393182,"1","0","1"
15,4,7,31,0.0586208477083333,0.0296558015432532,"0","1","1"
15,4,8,32,-0.0706790663636364,0.028979530398992,"1","1","1"
16,4,1,25,0.0898388032916667,0.0465133842425087,"0","0","0"
16,4,2,26,0.134319227833333,0.0492673723231193,"1","0","0"
16,4,3,27,0.168049283291667,0.0361946760672382,"0","1","0"
16,4,4,28,0.152880619227273,0.0209775611869619,"0","0","1"
16,4,5,29,0.0311841494166667,0.0515524253999382,"1","1","0"
16,4,6,30,0.0139755529583333,0.0295229753164887,"1","0","1"
16,4,7,31,0.0666038324166667,0.023016348901636,"0","1","1"
16,4,8,32,-0.0232546897727273,0.0274768503625655,"1","1","1"
17,5,1,33,0.108902148708333,0.0418677492562623,"0","0","0"
17,5,2,34,0.096939334,0.0439963476397158,"1","0","0"
17,5,3,35,0.140835644833333,0.0467175080310314,"0","1","0"
17,5,4,36,0.102084976625,0.0250858446971961,"0","0","1"
17,5,5,37,0.143778731125,0.0399108789962018,"1","1","0"
17,5,6,38,0.0121571666666667,0.0256935491910221,"1","0","1"
17,5,7,39,0.076224269875,0.0184629383589679,"0","1","1"
17,5,8,40,0.0141453993181818,0.024003422115307,"1","1","1"
18,5,1,33,0.117402489791667,0.0373183150844572,"0","0","0"
18,5,2,34,0.075307632,0.0466110521909082,"1","0","0"
18,5,3,35,0.0795114795833333,0.0440672922158284,"0","1","0"
18,5,4,36,-0.017197977625,0.0288331139384868,"0","0","1"
18,5,5,37,0.058967063625,0.044030985442904,"1","1","0"
18,5,6,38,-0.010861038625,0.0237483106015264,"1","0","1"
18,5,7,39,0.058835499375,0.0229974438323816,"0","1","1"
18,5,8,40,-0.0935969799545455,0.0225873961617791,"1","1","1"
20,5,1,33,0.0959171739565217,0.0467549363258855,"0","0","0"
20,5,2,34,0.127030572083333,0.045324734293589,"1","0","0"
20,5,3,35,0.156870081083333,0.0494416282018694,"0","1","0"
20,5,4,36,0.110495562625,0.0245962093158293,"0","0","1"
20,5,5,37,0.226135788782609,0.0380687416698731,"1","1","0"
20,5,6,38,0.00875819804347826,0.0305176020192404,"1","0","1"
20,5,7,39,0.0575352178695652,0.0221769628316094,"0","1","1"
20,5,8,40,-0.00896076126086957,0.0314010130864161,"1","1","1"
21,6,1,41,0.089241244875,0.0515001014048285,"0","0","0"
21,6,2,42,0.0635614357083333,0.0421580486125014,"1","0","0"
21,6,3,43,0.0883866330416667,0.0451206955989259,"0","1","0"
21,6,4,44,0.119023535,0.0279353460695645,"0","0","1"
21,6,5,45,0.109730062416667,0.0459281602994585,"1","1","0"
21,6,6,46,0.101679049583333,0.0215917241835205,"1","0","1"
21,6,7,47,0.125821976416667,0.0256158210195259,"0","1","1"
21,6,8,48,0.0270478845,0.0333512610274776,"1","1","1"
22,6,1,41,0.122807343125,0.0526296502843681,"0","0","0"
22,6,2,42,0.0297184202916667,0.0489432638616416,"1","0","0"
22,6,3,43,0.22052020075,0.0270073391430298,"0","1","0"
22,6,4,44,0.120888686217391,0.0165910437580303,"0","0","1"
22,6,5,45,-0.0195582327083333,0.0405849027621826,"1","1","0"
22,6,6,46,0.106726789041667,0.0248018988375632,"1","0","1"
22,6,7,47,0.0884687402083333,0.0291101368725391,"0","1","1"
22,6,8,48,-0.033139359125,0.0276951171048644,"1","1","1"
23,6,1,41,0.126631637333333,0.0500317371750975,"0","0","0"
23,6,2,42,0.185093202708333,0.0480125558528845,"1","0","0"
23,6,3,43,0.160520680916667,0.0343173746440941,"0","1","0"
23,6,4,44,0.0827813309583333,0.0283572377830185,"0","0","1"
23,6,5,45,0.156616705541667,0.0426785806400357,"1","1","0"
23,6,6,46,0.132153219625,0.014949768151889,"1","0","1"
23,6,7,47,0.0607094110416667,0.0293167088927337,"0","1","1"
23,6,8,48,0.055064846875,0.0317586456606607,"1","1","1"
25,7,1,49,0.02530202825,0.0424926664838507,"0","0","0"
25,7,2,50,0.0308293175833333,0.0407302875851311,"1","0","0"
25,7,3,51,0.150666566708333,0.0429360422057888,"0","1","0"
25,7,4,52,0.130989888826087,0.0157214369658318,"0","0","1"
25,7,5,53,0.0237884163043478,0.0499759063298997,"1","1","0"
25,7,6,54,0.0347683540952381,0.0296938100140983,"1","0","1"
25,7,7,55,0.14136804173913,0.0284451750910243,"0","1","1"
25,7,8,56,-0.0161571179166667,0.0316403920507422,"1","1","1"
26,7,1,49,0.074061242125,0.040522539885251,"0","0","0"
26,7,2,50,0.0849996504583333,0.0366120212202822,"1","0","0"
26,7,3,51,0.0872118285833333,0.0447946800764466,"0","1","0"
26,7,4,52,0.0136716265416667,0.0290188441946628,"0","0","1"
26,7,5,53,-0.001214962125,0.0417236202919336,"1","1","0"
26,7,6,54,-0.00971572183333333,0.0296698643804733,"1","0","1"
26,7,7,55,0.104789047791667,0.0243430415234747,"0","1","1"
26,7,8,56,-0.0351377483043478,0.0258423694704884,"1","1","1"
27,7,1,49,0.110330910363636,0.076515565479895,"0","0","0"
27,7,2,50,0.0992344247272727,0.0773424331004977,"1","0","0"
27,7,3,51,0.224061431166667,0.0617350765792772,"0","1","0"
27,7,4,52,0.0912959951818182,0.0389363838817626,"0","0","1"
27,7,5,53,0.118853541416667,0.0720222338233897,"1","1","0"
27,7,6,54,-0.0201934175,0.0341299041567854,"1","0","1"
27,7,7,55,0.1298645125,0.0194712026327243,"0","1","1"
27,7,8,56,0.0275131570833333,0.0513239022989577,"1","1","1"
28,7,1,49,0.170243052208333,0.0367272354553338,"0","0","0"
28,7,2,50,0.0300565326086957,0.0494478389946572,"1","0","0"
28,7,3,51,0.0583998754166667,0.048554937762129,"0","1","0"
28,7,4,52,0.139573545083333,0.0224411385265044,"0","0","1"
28,7,5,53,0.0473688893333333,0.0484098258925461,"1","1","0"
28,7,6,54,0.0575610857826087,0.0263693481129079,"1","0","1"
28,7,7,55,0.108043112958333,0.0273877305035535,"0","1","1"
28,7,8,56,-0.0675052518333333,0.0314011845409553,"1","1","1"
29,8,1,57,0.153959569416667,0.0345132169698341,"0","0","0"
29,8,2,58,0.185588783375,0.0424251399143065,"1","0","0"
29,8,3,59,0.152102005375,0.0459274153579593,"0","1","0"
29,8,4,60,0.0990229398333333,0.023484656972192,"0","0","1"
29,8,5,61,0.0979192727083333,0.0521258647931318,"1","1","0"
29,8,6,62,0.016619901875,0.0238179269405101,"1","0","1"
29,8,7,63,0.05787316975,0.0289254293629167,"0","1","1"
29,8,8,64,0.0739215196521739,0.0250958965160981,"1","1","1"
30,8,1,57,0.139973881363636,0.0591165420116043,"0","0","0"
30,8,2,58,0.094621316125,0.0370298059119507,"1","0","0"
30,8,3,59,0.0610440377916667,0.0530301934949569,"0","1","0"
30,8,4,60,0.0960693675833333,0.0189419232963219,"0","0","1"
30,8,5,61,0.0635304533333333,0.0388098805740428,"1","1","0"
30,8,6,62,0.0480044552916667,0.0186681108166311,"1","0","1"
30,8,7,63,0.0716186167916667,0.0247925072059052,"0","1","1"
30,8,8,64,0.027690274125,0.0240593018660404,"1","1","1"
31,8,1,57,0.176025436875,0.0363592906716332,"0","0","0"
31,8,2,58,0.129675708666667,0.0455174089492845,"1","0","0"
31,8,3,59,0.132797565375,0.0362620383275422,"0","1","0"
31,8,4,60,0.0785483955,0.026790424604492,"0","0","1"
31,8,5,61,0.149058265541667,0.0429447248134544,"1","1","0"
31,8,6,62,0.0532866003043478,0.0267321661564612,"1","0","1"
31,8,7,63,0.0408572714583333,0.0263319654015559,"0","1","1"
31,8,8,64,0.0591428586666667,0.0267638990415434,"1","1","1"
32,8,1,57,0.0746005655,0.0387431838789676,"0","0","0"
32,8,2,58,0.0538370855652174,0.0530287581615731,"1","0","0"
32,8,3,59,0.097280466,0.0441746450255594,"0","1","0"
32,8,4,60,0.0949488091304348,0.0170121085653405,"0","0","1"
32,8,5,61,0.183391529913043,0.0524540672547721,"1","1","0"
32,8,6,62,-0.00968952870833333,0.0222699773206967,"1","0","1"
32,8,7,63,0.117466103391304,0.0154535060131515,"0","1","1"
32,8,8,64,0.0562927273043478,0.0224320744495636,"1","1","1"
